Axis 1,Axis 2,Numbers
Hydrogen,1,1-10
Helium,2,1-10
Lithium,3,1-10
Beryllium,4,1-10
Boron,5,1-10
Carbon,6,1-10
Nitrogen,7,1-10
Oxygen,8,1-10
Flourine,9,1-10
Neon,10,1-10
Sodium,11,11-20
Magnesium,12,11-20
Aluminum,13,11-20
Silicon,14,11-20
Phosphorus,15,11-20
Sulfur,16,11-20
Chlorine,17,11-20
Argon,18,11-20
Potassium,19,11-20
Calcium,20,11-20
Scandium,21,21-30
Titanium,22,21-30
Vanadium,23,21-30
Chromium,24,21-30
Manganese,25,21-30
Iron,26,21-30
Cobalt,27,21-30
Nickel,28,21-30
Copper,29,21-30
Zinc,30,21-30
Gallium,31,31-40
Germanium,32,31-40
Arsenic,33,31-40
Selenium,34,31-40
Bromine,35,31-40
Krypton,36,31-40
Rubidium,37,31-40
Strontium,38,31-40
Yttrium,39,31-40
Zirconium,40,31-40
Niobium,41,41-50
Molybdenum,42,41-50
Technetium,43,41-50
Ruthenium,44,41-50
Rhodium,45,41-50
Palladium,46,41-50
Silver,47,41-50
Cadmium,48,41-50
Indium,49,41-50
Tin,50,41-50
Antimony,51,51-60
Tellurium,52,51-60
Iodine,53,51-60
Xenon,54,51-60
Cesium,55,51-60
Barium,56,51-60
Lanthanum,57,51-60
Cerium,58,51-60
Praseodymium,59,51-60
Neodymium,60,51-60
Promethium,61,61-70
Samarium,62,61-70
Europium,63,61-70
Gadolinium,64,61-70
Terbium,65,61-70
Dysprosium,66,61-70
Holmium,67,61-70
Erbium,68,61-70
Thulium,69,61-70
Ytterbium,70,61-70
Lutetium,71,71-80
Hafnium,72,71-80
Tantalum,73,71-80
Tungsten,74,71-80
Rhenium,75,71-80
Osmium,76,71-80
Iridium,77,71-80
Platinum,78,71-80
Gold,79,71-80
Mercury,80,71-80
Thallium,81,81-90
Lead,82,81-90
Bismuth,83,81-90
Polonium,84,81-90
Astatine,85,81-90
Radon,86,81-90
Francium,87,81-90
Radium,88,81-90
Actinium,89,81-90
Thorium,90,81-90
Protactinium,91,91-100
Uranium,92,91-100
Neptunium,93,91-100
Plutonium,94,91-100
Americium,95,91-100
Curium,96,91-100
Berkelium,97,91-100
Californium,98,91-100
Einsteinium,99,91-100
Fermium,100,91-100
Mendelevium,101,101-110
Nobelium,102,101-110
Lawrencium,103,101-110
Rutherfordium,104,101-110
Dubnium,105,101-110
Seaborgium,106,101-110
Bohrium,107,101-110
Hassium,108,101-110
Meitnerium,109,101-110
Darmstadtium,110,101-110
Roentgenium,111,111-120
Copernicium,112,111-120
Nihonium,113,111-120
Flerovium,114,111-120
Moscovium,115,111-120
Livermorium,116,111-120
Tennessine,117,111-120
Oganneson,118,111-120
