Axis 1,Axis 2,Numbers
Hydrogen,H,1-10
Helium,He,1-10
Lithium,Li,1-10
Beryllium,Be,1-10
Boron,B,1-10
Carbon,C,1-10
Nitrogen,N,1-10
Oxygen,O,1-10
Fluorine,F,1-10
Neon,Ne,1-10
Sodium,Na,11-20
Magnesium,Mg,11-20
Aluminum,Al,11-20
Silicon,Si,11-20
Phosphorous,P,11-20
Sulfur,S,11-20
Chlorine,Cl,11-20
Argon,Ar,11-20
Potassium,K,11-20
Calcium,Ca,11-20
Scandium,Sc,21-30
Titanium,Ti,21-30
Vanadium,V,21-30
Chromium,Cr,21-30
Manganese,Mn,21-30
Iron,Fe,21-30
Cobalt,Co,21-30
Nickel,Ni,21-30
Copper,Cu,21-30
Zinc,ZN,21-30
Gallium,Ga,31-40
Germanium,Ge,31-40
Arsenic,As,31-40
Selenium,Se,31-40
Bromine,Br,31-40
Krypton,Kr,31-40
Rubidium,Rb,31-40
Strontium,Sr,31-40
Yttrium,Y,31-40
Zirconium,Zr,31-40
Niobium,Nb,41-50
Molybdenum,Mo,41-50
Technetium,Tc,41-50
Ruthenium,Ru,41-50
Rhodium,Rh,41-50
Palladium,Pd,41-50
Silver,Ag,41-50
Cadmium,Cd,41-50
Indium,In,41-50
Tin,Sn,41-50
Antimony,Sb,51-60
Tellurium,Te,51-60
Iodine,I,51-60
Xenon,Xe,51-60
Cesium,Cs,51-60
Barium,Ba,51-60
Lanthanum,La,51-60
Cerium,Ce,51-60
Praseodymium,Pr,51-60
Neodymium,Nd,51-60
Promethium,Pm,61-70
Samarium,Sm,61-70
Europium,Eu,61-70
Gadolinium,Gd,61-70
Terbium,Tb,61-70
Dysprosium,Dy,61-70
Holmium,Ho,61-70
Erbium,Er,61-70
Thulium,Tm,61-70
Ytterbium,Yb,61-70
Lutetium,Lu,71-80
Hafnium,Hf,71-80
Tantalum,Ta,71-80
Tungsten,W,71-80
Rhenium,Re,71-80
Osmium,Os,71-80
Iridium,Ir,71-80
Platinum,Pt,71-80
Gold,Au,71-80
Mercury,Hg,71-80
Thallium,Tl,81-90
Lead,Pb,81-90
Bismuth,Bi,81-90
Polonium,Po,81-90
Astatine,At,81-90
Radon,Rn,81-90
Francium,Fr,81-90
Radium,Ra,81-90
Actinium,Ac,81-90
Thorium,Th,81-90
Protactinium,Pa,91-100
Uranium,U,91-100
Neptunium,Np,91-100
Plutonium,Pu,91-100
Americium,Am,91-100
Curium,Cm,91-100
Berkelium,Bk,91-100
Californium,Cf,91-100
Einsteinium,Es,91-100
Fermium,Fm,91-100
Mendelevium,Md,101-110
Nobelium,No,101-110
Lawrencium,lr,101-110
Rutherfordium,Rf,101-110
Dubnium,Db,101-110
Seaborgium,Sg,101-110
Bohrium,Bh,101-110
Hassium,Hs,101-110
Meitnerium,Mt,101-110
Darmstadtium,Ds,101-110
Roentgenium,Rg,111-120
Copernicium,Cn,111-120
Nihonium,Nh,111-120
Flerovium,Fl,111-120
Moscovium,Mc,111-120
Livermorium,Lv,111-120
Tennessine,Ts,111-120
Oganneson,Og,111-120
