Axis 1,Axis 2,Capital,Currency,Currency Name,Continents
Afghanistan.png,Afghanistan,Kabul,AFN,Afghan afghani,Asia
Albania.png,Albania,Tirana,ALL,Albanian lek,Europe
Algeria.jpg,Algeria,Algiers,DZD,Algerian dinar,Africa
Andorra.png,Andorra,Andorra la Vella,EUR,Euro,Europe
Angola.jpg,Angola,Luanda,AOA,Angolan kwanza,Africa
Antigua and Barbuda.png,Antigua and Barbuda,St. John's,XCD,Eastern Caribbean dollar,North America
Argentina.png,Argentina,Buenos Aires,ARS,Argentine peso,South America
Armenia.png,Armenia,Yerevan,AMD,Armenian dram,Asia
Australia.jpg,Australia,Canberra,AUD,Australian dollar,Oceania
Austria.png,Austria,Vienna,EUR,Euro,Europe
Azerbaijan.png,Azerbaijan,Baku,AZN,Azerbaijani manat,Asia
Bahamas.png,Bahamas,Nassau,BSD,Bahamian dollar,North America
Bahrain.png,Bahrain,Manama,BHD,Bahraini dinar,Asia
Bangladesh.png,Bangladesh,Dhaka,BDT,Bangladeshi taka,Asia
Barbados.png,Barbados,Bridgetown,BBD,Barbadian dollar,North America
Belarus.png,Belarus,Minsk,BYN,Belarusian ruble,Europe
Belgium.png,Belgium,Brussels,EUR,Euro,Europe
Belize.png,Belize,Belmopan,BZD,Belize dollar,North America
Benin.jpg,Benin,Porto-Novo,XOF,West African CFA franc,Africa
Bhutan.png,Bhutan,Thimphu,BTN,Bhutanese ngultrum,Asia
Bolivia.png,Bolivia,Sucre,BOB,Bolivian boliviano,South America
Bosnia and Herzegovina.png,Bosnia and Herzegovina,Sarajevo,BAM,Bosnia and Herzegovina convertible mark,Europe
Botswana.jpg,Botswana,Gaborone,BWP,Botswana pula,Africa
Brazil.png,Brazil,Brasilia,BRL,Brazilian real,South America
Brunei.png,Brunei,Bandar Seri Begawan,BND,Brunei dollar,Asia
Bulgaria.png,Bulgaria,Sofia,BGN,Bulgarian lev,Europe
Burkina Faso.jpg,Burkina Faso,Ouagadougou,XOF,West African CFA franc,Africa
Burundi.jpg,Burundi,Bujumbura,BIF,Burundian franc,Africa
Cambodia.png,Cambodia,Phnom Penh,KHR,Cambodian riel,Asia
Cameroon.jpg,Cameroon,Yaounde,XAF,Central African CFA franc,Africa
Canada.png,Canada,Ottawa,CAD,Canadian dollar,North America
Cape Verde.jpg,Cape Verde,Praia,CVE,Cape Verdean escudo,Africa
CAR.jpg,CAR,Bangui,XAF,Central African CFA franc,Africa
Chad.jpg,Chad,N'Djamena,XAF,Central African CFA franc,Africa
Chile.png,Chile,Santiago,CLP,Chilean peso,South America
China.png,China,Beijing,CNY,Chinese yuan,Asia
Colombia.png,Colombia,BogotÃ¡,COP,Colombian peso,South America
Comoros.jpg,Comoros,Moroni,KMF,Comorian franc,Africa
Congo.jpg,Congo,Brazzaville,XAF,Central African CFA franc,Africa
Costa Rica.png,Costa Rica,San Jose,CRC,Costa Rican colÃ³n,North America
Cote d'Ivoire.jpg,Cote d'Ivoire,Yamoussoukro,XOF,West African CFA franc,Africa
Croatia.png,Croatia,Zagreb,HRK,Croatian kuna,Europe
Cuba.png,Cuba,Havana,CUP,Cuban peso,North America
Cyprus.png,Cyprus,Nicosia,EUR,Euro,Europe
Czechia.png,Czechia,Prague,CZK,Czech koruna,Europe
Dem Rep Congo.jpg,Dem Rep Congo,Kinshasa,CDF,Congolese Franc,Africa
Denmark.png,Denmark,Copenhagen,DKK,Danish krone,Europe
Djibouti.jpg,Djibouti,Djibouti,DJF,Djiboutian franc,Africa
Dominica.png,Dominica,Roseau,XCD,Eastern Caribbean dollar,North America
Dominican Republic.png,Dominican Republic,Santo Domingo,DOP,Dominican peso,North America
East Timor.jpg,East Timor,Dili,USD,United States dollar,Asia
Ecuador.png,Ecuador,Quito,USD,United States dollar,South America
Egypt.jpg,Egypt,Cairo,EGP,Egyptian pound,Africa
El Salvador.png,El Salvador,San Salvador,USD,United States dollar,North America
Equatorial Guinea.jpg,Equatorial Guinea,Malabo,XAF,Central African CFA franc,Africa
Eritrea.jpg,Eritrea,Asmara,ERN,Eritrean nakfa,Africa
Estonia.png,Estonia,Tallinn,EUR,Euro,Europe
Eswatini.jpg,Eswatini,Mbabane,SZL,Lilangeni,Africa
Ethiopia.jpg,Ethiopia,Addis Ababa,ETB,Ethiopian birr,Africa
Fiji.png,Fiji,Suva,FJD,Fijian dollar,Oceania
Finland.png,Finland,Helsinki,EUR,Euro,Europe
France.png,France,Paris,EUR,Euro,Europe
Gabon.jpg,Gabon,Libreville,XAF,Central African CFA franc,Africa
Gambia.jpg,Gambia,Banjul,GMD,Gambian dalasi,Africa
Georgia.png,Georgia,Tbilisi,GEL,Georgian lari,Asia
Germany.png,Germany,Berlin,EUR,Euro,Europe
Ghana.jpg,Ghana,Accra,GHS,Ghanaian cedi,Africa
Greece.png,Greece,Athens,EUR,Euro,Europe
Grenada.png,Grenada,St. George's,XCD,Eastern Caribbean dollar,North America
Guatemala.png,Guatemala,Guatemala City,GTQ,Guatemalan quetzal,North America
Guinea Bissau.jpg,Guinea Bissau,Bissau,XOF,West African CFA franc,Africa
Guinea.jpg,Guinea,Conakry,GNF,Guinean franc,Africa
Guyana.png,Guyana,Georgetown,GYD,Guyanese dollar,South America
Haiti.png,Haiti,Port-au-Prince,HTG,Haitian gourde,North America
Honduras.png,Honduras,Tegucigalpa,HNL,Honduran lempira,North America
Hungary.png,Hungary,Budapest,HUF,Hungarian forint,Europe
Iceland.png,Iceland,Reykjavik,ISK,Icelandic krÃ³na,Europe
India.png,India,New Delhi,INR,Indian rupee,Asia
Indonesia.png,Indonesia,Jakarta,IDR,Indonesian rupiah,Asia
Iran.png,Iran,Tehran,IRR,Iranian rial,Asia
Iraq.png,Iraq,Baghdad,IQD,Iraqi dinar,Asia
Ireland.png,Ireland,Dublin,EUR,Euro,Europe
Israel.png,Israel,Jerusalem,ILS,Israeli new shekel,Asia
Italy.png,Italy,Rome,EUR,Euro,Europe
Jamaica.png,Jamaica,Kingston,JMD,Jamaican dollar,North America
Japan.png,Japan,Tokyo,JPY,Japanese yen,Asia
Jordan.png,Jordan,Amman,JOD,Jordanian dinar,Asia
Kazakhstan.png,Kazakhstan,Astana,KZT,Kazakhstani tenge,Asia
Kenya.jpg,Kenya,Nairobi,KES,Kenyan shilling,Africa
Kiribati.jpg,Kiribati,Tarawa,AUD,Australian dollar,Oceania
Kosovo.png,Kosovo,Pristina,EUR,Euro,Europe
Kuwait.png,Kuwait,Kuwait City,KWD,Kuwaiti dinar,Asia
Kyrgyzstan.png,Kyrgyzstan,Bishkek,KGS,Kyrgyzstani som,Asia
Laos.png,Laos,Vientiane,LAK,Lao kip,Asia
Latvia.png,Latvia,Riga,EUR,Euro,Europe
Lebanon.png,Lebanon,Beirut,LBP,Lebanese pound,Asia
Lesotho.jpg,Lesotho,Maseru,LSL,Lesotho loti,Africa
