Axis 1,Axis 2,Centuries,Numbers
George Washington ,1,1700s,1-10
John Adams ,2,1800s,1-10
Thomas Jefferson,3,1800s,1-10
James Madison ,4,1800s,1-10
James Monroe ,5,1800s,1-10
John Quincy Adams ,6,1800s,1-10
Andrew Jackson ,7,1800s,1-10
Martin Van Buren ,8,1800s,1-10
William Henry Harrison ,9,1800s,1-10
John Tyler ,10,1800s,1-10
James K. Polk ,11,1800s,10-20
Zachary Taylor ,12,1800s,10-20
Millard Fillmore ,13,1800s,10-20
Franklin Pierce ,14,1800s,10-20
James Buchanan ,15,1800s,10-20
Abraham Lincoln ,16,1800s,10-20
Andrew Johnson ,17,1800s,10-20
Ulysses S. Grant ,18,1800s,10-20
Rutherford Birchard Hayes ,19,1800s,10-20
James A. Garfield ,20,1800s,10-20
Chester A. Arthur ,21,1800s,20-30
Grover Cleveland ,22,1800s,20-30
Benjamin Harrison ,23,1800s,20-30
Grover Cleveland ,24,1800s,20-30
William McKinley ,25,1800s,20-30
Theodore Roosevelt ,26,1900s,20-30
William H. Taft ,27,1900s,20-30
Woodrow Wilson ,28,1900s,20-30
Warren G. Harding ,29,1900s,20-30
Calvin Coolidge ,30,1900s,20-30
Herbert Hoover ,31,1900s,30-40
Franklin D. Roosevelt ,32,1900s,30-40
Harry S. Truman ,33,1900s,30-40
Dwight D. Eisenhower ,34,1900s,30-40
John F. Kennedy ,35,1900s,30-40
Lyndon B. Johnson ,36,1900s,30-40
Richard M. Nixon ,37,1900s,30-40
Gerald R. Ford ,38,1900s,30-40
Jimmy Carter ,39,1900s,30-40
Ronald Reagan ,40,1900s,30-40
George Bush ,41,1900s,40-50
Bill Clinton ,42,1900s,40-50
George W. Bush ,43,2000s,40-50
Barack Obama ,44,2000s,40-50
Donald J. Trump ,45,2000s,40-50
Joe Biden,46,2000s,40–50
