Axis 1,Axis 2
Flag_of_Alabama.png,Alabama
Flag_of_Alaska.png,Alaska
Flag_of_Arizona.png,Arizona
Flag_of_Arkansas.png,Arkansas
Flag_of_California.png,California
Flag_of_Colorado.png,Colorado
Flag_of_Connecticut.png,Connecticut
Flag_of_Delaware.png,Delaware
Flag_of_Florida.png,Florida
Flag_of_Georgia.png,Georgia
Flag_of_Hawaii.png,Hawaii
Flag_of_Idaho.png,Idaho
Flag_of_Illinois.png,Illinois
Flag_of_Indiana.png,Indiana
Flag_of_Iowa.png,Iowa
Flag_of_Kansas.png,Kansas
Flag_of_Kentucky.png,Kentucky
Flag_of_Louisiana.png,Louisiana
Flag_of_Maine.png,Maine
Flag_of_Maryland.png,Maryland
Flag_of_Massachusetts.png,Massachusetts
Flag_of_Michigan.png,Michigan
Flag_of_Minnesota.png,Minnesota
Flag_of_Mississippi.png,Mississippi
Flag_of_Missouri.png,Missouri
Flag_of_Montana.png,Montana
Flag_of_Nebraska.png,Nebraska
Flag_of_Nevada.png,Nevada
Flag_of_New Hampshire.png,New Hampshire
Flag_of_New Jersey.png,New Jersey
Flag_of_New Mexico.png,New Mexico
Flag_of_New York.png,New York
Flag_of_North Carolina.png,North Carolina
Flag_of_North Dakota.png,North Dakota
Flag_of_Ohio.png,Ohio
Flag_of_Oklahoma.png,Oklahoma
Flag_of_Oregon.png,Oregon
Flag_of_Pennsylvania.png,Pennsylvania
Flag_of_Rhode Island.png,Rhode Island
Flag_of_South Carolina.png,South Carolina
Flag_of_South Dakota.png,South Dakota
Flag_of_Tennessee.png,Tennessee
Flag_of_Texas.png,Texas
Flag_of_Utah.png,Utah
Flag_of_Vermont.png,Vermont
Flag_of_Virginia.png,Virginia
Flag_of_Washington.png,Washington
Flag_of_West Virginia.png,West Virginia
Flag_of_Wisconsin.png,Wisconsin
Flag_of_Wyoming.png,Wyoming
