Axis 1,Axis 2
American Samoa.png,American Samoa
Anguilla.png,Anguilla
Aruba.png,Aruba
Bermuda.png,Bermuda
British Indian Ocean Territory.png,British Indian Ocean Territory
British Virgin Islands.png,British Virgin Islands
Cayman Islands.png,Cayman Islands
Christmas Island.png,Christmas Island
Cocos Islands.png,Cocos Islands
Cook Islands.png,Cook Islands
Falkland Islands.png,Falkland Islands
French Polynesia.png,French Polynesia
French Southern Territories.png,French Southern Territories
Gibraltar.png,Gibraltar
Guam.png,Guam
Guernsey.png,Guernsey
Hong Kong.png,Hong Kong
Isle of Man.png,Isle of Man
Jersey.png,Jersey
Macau.png,Macau
Martinique.png,Martinique
Mayotte.png,Mayotte
Montserrat.png,Montserrat
Netherlands Antilles.png,Netherlands Antilles
New Caledonia.png,New Caledonia
Niue.png,Niue
Norfolk Island.png,Norfolk Island
Northern Mariana Islands.png,Northern Mariana Islands
Pitcairn Islands.png,Pitcairn Islands
Puerto Rico.png,Puerto Rico
St Helena.png,St Helena
St Pierre and Miquelon.png,St Pierre and Miquelon
South Georgia and South Sandwich Islands.png,South Georgia and South Sandwich Islands
Tokelau.png,Tokelau
Turks and Caicos Islands.png,Turks and Caicos Islands
Virgin Islands.png,Virgin Islands
Wallis and Futuna.png,Wallis and Futuna
Guadeloupe.png,Guadeloupe
