Axis 1,Axis 2,Capital,Currency,Continents
Afghanistan,Afghani,Kabul,AFN,Asia
Albania,Lek,Tirana,ALL,Europe
Algeria,Dinar,Algiers,DZD,Africa
Andorra,Euro,Andorra la Vella,EUR,Europe
Angola,Kwanza,Luanda,AOA,Africa
Antigua and Barbuda,Dollar,St. John's,XCD,North America
Argentina,Peso,Buenos Aires,ARS,South America
Armenia,Dram,Yerevan,AMD,Asia
Australia,Dollar,Canberra,AUD,Oceania
Austria,Euro,Vienna,EUR,Europe
Azerbaijan,Manat,Baku,AZN,Asia
Bahamas,Dollar,Nassau,BSD,North America
Bahrain,Dinar,Manama,BHD,Asia
Bangladesh,Taka,Dhaka,BDT,Asia
Barbados,Dollar,Bridgetown,BBD,North America
Belarus,Ruble,Minsk,BYN,Europe
Belgium,Euro,Brussels,EUR,Europe
Belize,Dollar,Belmopan,BZD,North America
Benin,Franc,Porto-Novo,XOF,Africa
Bhutan,Ngultrum,Thimphu,BTN,Asia
Bolivia,Boliviano,Sucre,BOB,South America
Bosnia and Herzegovina,Mark,Sarajevo,BAM,Europe
Botswana,Pula,Gaborone,BWP,Africa
Brazil,Real,Brasilia,BRL,South America
Brunei,Dollar,Bandar Seri Begawan,BND,Asia
Bulgaria,Lev,Sofia,BGN,Europe
Burkina Faso,Franc,Ouagadougou,XOF,Africa
Burundi,Franc,Bujumbura,BIF,Africa
Cambodia,Riel,Phnom Penh,KHR,Asia
Cameroon,Franc,Yaounde,XAF,Africa
Canada,Dollar,Ottawa,CAD,North America
Cape Verde,Escudo,Praia,CVE,Africa
CAR,Franc,Bangui,XAF,Africa
Chad,Franc,N'Djamena,XAF,Africa
Chile,Peso,Santiago,CLP,South America
China,Yuan,Beijing,CNY,Asia
Colombia,Peso,BogotÃ¡,COP,South America
Comoros,Franc,Moroni,KMF,Africa
Congo,Franc,Brazzaville,XAF,Africa
Costa Rica,Colon,San Jose,CRC,North America
Cote d'Ivoire,Franc,Yamoussoukro,XOF,Africa
Croatia,Kuna,Zagreb,HRK,Europe
Cuba,Peso,Havana,CUP,North America
Cyprus,Euro,Nicosia,EUR,Europe
Czechia,Koruna,Prague,CZK,Europe
Dem Rep Congo,Franc,Kinshasa,CDF,Africa
Denmark,Krone,Copenhagen,DKK,Europe
Djibouti,Franc,Djibouti,DJF,Africa
Dominica,Dollar,Roseau,XCD,North America
Dominican Republic,Peso,Santo Domingo,DOP,North America
East Timor,Dollar,Dili,USD,Asia
