Axis 1,Axis 2,Continents
Argentina,Buenos Aires,South America
Bolivia,La Paz or Sucre,South America
Brazil,Brasilia,South America
Chile,Santiago,South America
Colombia,Bogota,South America
Ecuador,Quito,South America
Guyana,Georgetown,South America
Paraguay,Asuncion,South America
Peru,Lima,South America
Suriname,Paramaribo,South America
Uruguay,Montevideo,South America
Venezuela,Caracas,South America
Antigua and Barbuda,St. John's,North America
Bahamas,Nassau,North America
Barbados,Bridgetown,North America
Belize,Belmopan,North America
Canada,Ottawa,North America
Costa Rica,San Jose,North America
Cuba,Havana,North America
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
El Salvador,San Salvador,North America
Grenada,Saint George's,North America
Guatemala,Guatemala City,North America
Haiti,Port-au-Prince,North America
Honduras,Tegucigalpa,North America
Jamaica,Kingston,North America
Mexico,Mexico City,North America
Nicaragua,Managua,North America
Panama,Panama City,North America
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Vincent and the Grenadines,Kingstown,North America
Trinidad and Tobago,Port-of-Spain,North America
United States,Washington,North America
Albania,Tirana,Europe
Andorra,Andorra la Vella,Europe
Austria,Vienna,Europe
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Bosnia and Herzegovina,Sarajevo,Europe
Bulgaria,Sofia,Europe
Croatia,Zagreb,Europe
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Estonia,Tallinn,Europe
Finland,Helsinki,Europe
France,Paris,Europe
Germany,Berlin,Europe
Greece,Athens,Europe
Hungary,Budapest,Europe
Iceland,Reykjavik,Europe
Ireland,Dublin,Europe
Italy,Rome,Europe
Kosovo,Pristina,Europe
Latvia,Riga,Europe
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Malta,Valletta,Europe
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Montenegro,Podgorica,Europe
Netherlands,Amsterdam,Europe
New Zealand,Wellington,Europe
Norway,Oslo,Europe
